timestamp,vehicle_count
18:06:16,4
18:06:18,4
18:06:18,4
18:06:20,4
18:06:20,5
18:06:22,5
18:06:22,3
18:06:24,3
18:06:24,5
18:06:26,5
18:06:26,5
18:06:28,5
18:06:28,6
18:06:30,6
18:06:30,6
18:06:32,6
18:06:32,5
18:06:34,5
18:06:34,7
18:06:36,7
18:06:37,7
18:06:38,7
18:06:39,7
18:06:40,7
18:06:41,9
18:06:42,9
18:06:43,4
18:06:44,4
18:06:45,5
18:06:46,5
18:06:47,7
18:06:48,7
18:06:49,10
18:06:50,10
18:06:51,7
18:06:53,7
18:06:53,5
18:06:55,5
18:06:55,5
18:06:57,5
18:06:57,6
18:06:59,6
18:06:59,5
18:07:01,5
18:07:01,8
18:07:03,8
18:07:03,5
18:07:05,5
18:07:05,8
18:07:07,8
18:07:07,8
18:07:09,8
18:07:09,8
18:07:11,8
18:07:11,14
18:07:13,14
18:07:13,9
18:07:15,9
18:07:16,8
18:07:17,8
18:07:18,5
18:07:19,5
18:07:20,9
18:07:21,9
18:07:22,11
18:07:23,11
18:07:24,9
18:07:25,9
18:07:26,8
18:07:27,8
18:07:28,6
18:07:29,6
18:07:30,8
18:07:31,8
18:07:32,9
18:07:34,9
18:07:34,7
18:07:36,7
18:07:36,7
18:07:38,7
18:07:38,5
18:14:22,4
18:14:24,4
18:14:24,4
18:14:26,4
18:14:26,5
18:14:28,5
18:14:28,3
18:14:30,3
18:14:30,5
18:14:32,5
18:14:32,5
18:14:34,5
18:14:34,6
18:14:36,6
18:14:37,6
18:14:39,6
18:14:39,5
18:14:41,5
18:14:41,7
18:14:43,7
18:14:43,7
18:14:45,7
18:14:45,7
18:14:47,7
18:14:47,9
18:14:49,4
18:14:49,9
18:14:51,5
18:14:51,4
18:14:53,7
18:14:53,5
18:14:55,7
18:14:55,10
18:14:57,10
18:14:57,7
18:14:59,7
18:14:59,5
18:15:01,5
18:15:01,5
18:15:03,6
18:15:03,5
18:15:05,5
18:15:06,6
18:15:08,8
18:15:08,5
18:15:10,5
18:15:10,8
18:15:12,8
18:15:12,5
18:15:14,8
18:15:14,8
18:15:16,8
18:15:16,8
18:15:18,14
18:15:18,8
18:15:20,9
18:15:20,14
18:15:22,8
18:15:22,9
18:15:24,5
18:15:24,8
18:15:26,9
18:15:26,5
18:15:28,9
18:15:28,11
18:15:30,11
18:15:30,9
18:15:32,9
18:15:32,8
18:15:34,8
18:15:34,6
18:15:36,8
18:15:36,6
18:15:38,9
18:15:38,8
18:15:40,9
18:15:42,7
18:15:43,7
18:15:44,5
18:15:45,7
18:15:47,8
18:15:47,5
18:15:49,8
18:15:49,8
18:15:51,7
18:15:51,8
18:15:53,8
18:15:53,7
18:15:55,10
18:15:55,8
18:15:57,10
18:15:57,10
18:15:59,8
18:15:59,10
18:16:01,7
18:16:01,8
18:16:03,7
18:16:03,7
18:16:05,7
18:16:05,7
18:16:07,5
18:16:07,7
18:16:09,5
18:16:09,6
18:16:11,9
18:16:13,9
18:16:13,11
18:16:15,11
18:16:15,8
18:16:17,8
18:16:17,9
18:16:19,9
18:16:19,8
18:16:21,8
18:16:21,6
18:16:23,6
18:16:23,7
18:16:25,7
18:16:25,10
18:16:27,10
18:16:27,7
18:16:29,7
18:16:29,7
18:16:31,7
18:16:31,7
18:16:33,8
18:16:33,7
18:16:35,8
18:16:37,10
18:16:37,8
18:16:40,6
18:16:40,10
18:16:42,8
18:16:42,6
18:16:44,7
18:16:44,8
18:16:46,8
18:16:46,7
18:16:48,7
18:16:48,8
18:16:50,8
18:16:50,7
18:16:52,8
18:16:52,8
18:16:54,9
18:16:54,8
18:16:56,9
18:16:56,9
18:16:58,7
18:16:58,9
18:17:00,7
18:17:00,6
18:17:02,6
18:17:02,10
18:17:04,10
18:17:04,10
18:17:06,10
18:17:06,10
18:17:08,12
18:17:08,10
18:17:10,7
18:17:10,12
18:17:12,7
18:17:12,7
18:17:14,7
18:17:14,7
18:17:16,7
18:17:16,5
18:17:18,5
18:17:18,6
18:17:20,9
18:17:20,6
18:17:22,11
18:17:22,9
18:17:24,7
18:17:24,11
18:17:26,7
18:17:26,7
18:17:28,8
18:17:28,7
18:17:30,11
18:17:30,8
18:17:32,12
18:17:32,11
18:17:34,5
18:17:35,12
18:17:37,5
18:17:37,7
18:17:39,7
18:17:39,9
18:17:41,9
18:17:41,10
18:17:43,8
18:17:43,10
18:17:45,8
18:17:45,8
18:17:47,7
18:17:47,8
18:17:49,7
18:17:49,7
18:17:51,10
18:17:51,7
18:17:53,7
18:17:53,10
18:17:55,9
18:17:55,7
18:17:57,7
18:41:16,4
18:41:18,4
18:41:18,4
18:41:20,4
18:41:20,5
18:41:22,5
18:41:22,3
18:41:24,3
18:41:24,5
18:41:26,5
18:41:26,5
18:41:28,5
18:41:28,6
18:41:30,6
18:41:30,6
18:41:32,6
18:41:32,5
18:41:34,5
18:41:34,7
18:41:36,7
18:41:36,7
18:41:38,7
18:41:38,7
18:41:40,7
18:41:40,9
18:41:42,9
18:41:42,4
18:41:44,4
18:41:44,5
18:41:46,5
18:41:46,7
18:41:48,7
18:41:48,10
18:41:50,10
18:41:50,7
18:41:52,7
18:41:52,5
18:42:30,4
18:42:32,4
18:42:32,4
18:42:34,4
18:42:34,5
18:42:36,5
18:42:36,3
18:42:38,3
18:42:38,5
18:42:40,5
18:42:40,5
18:42:42,5
18:42:42,6
18:42:44,6
18:42:44,6
18:42:46,6
18:42:46,5
18:42:48,5
18:42:48,7
18:42:50,7
18:42:50,7
18:42:52,7
18:42:52,7
18:42:54,7
18:42:54,9
18:42:56,9
18:42:56,4
18:42:58,4
18:42:58,5
18:43:00,7
18:43:00,5
18:43:02,10
18:43:02,7
18:43:05,10
18:43:05,7
18:43:07,7
18:43:07,5
18:43:09,5
18:43:09,5
18:43:11,5
18:43:11,6
18:43:13,6
18:43:13,5
18:43:15,5
18:43:15,8
18:43:17,8
18:43:17,5
18:43:19,5
18:43:19,8
18:43:21,8
18:43:21,8
18:43:23,8
18:43:23,8
18:43:25,8
18:43:25,14
18:43:27,14
18:43:27,9
18:43:29,9
18:43:29,8
18:43:31,8
18:43:31,5
18:43:33,9
18:43:33,5
18:43:35,9
18:43:35,11
18:43:37,11
18:43:37,9
23:17:54,4
23:17:56,4
23:17:56,4
23:17:58,4
23:17:59,5
23:18:00,5
23:18:01,3
23:18:02,3
23:18:03,5
23:18:04,5
23:18:05,5
23:18:06,5
23:18:07,6
23:18:08,6
23:18:09,6
23:18:11,6
23:18:11,5
23:18:13,5
23:18:13,7
23:18:15,7
23:18:15,7
23:18:17,7
23:18:17,7
23:18:19,7
23:18:19,9
23:18:21,9
23:18:21,4
23:18:23,4
23:18:23,5
23:18:25,5
23:18:25,7
23:18:27,7
23:18:27,10
23:18:29,10
23:18:29,7
23:18:31,7
23:18:31,5
23:18:33,5
23:18:33,5
23:18:35,5
23:18:36,6
23:18:37,6
23:18:38,5
23:18:39,5
23:18:40,8
23:18:41,8
23:18:42,5
23:18:43,5
23:18:44,8
23:18:45,8
23:18:46,8
23:18:47,8
23:18:48,8
23:18:50,8
23:18:50,14
23:18:52,14
23:18:52,9
23:18:54,9
23:18:54,8
23:18:56,8
23:18:56,5
23:18:58,5
23:18:58,9
23:19:00,9
23:19:00,11
23:19:02,11
23:19:02,9
23:19:04,9
23:19:04,8
23:19:06,8
23:19:06,6
23:19:08,6
23:19:08,8
23:19:10,8
23:19:10,9
23:19:12,9
23:19:12,7
10:24:06,4
10:24:08,4
10:24:10,4
10:24:10,5
10:24:12,4
10:24:12,3
10:24:14,5
10:24:14,5
10:24:16,3
10:24:16,5
10:24:18,5
10:24:18,6
10:24:20,5
10:24:20,6
10:24:22,6
10:24:22,5
10:24:24,6
10:24:24,7
10:24:26,5
10:24:26,7
10:24:28,7
10:24:28,7
10:24:30,7
10:24:30,9
10:24:33,7
10:24:33,4
10:24:35,9
10:24:35,5
10:24:37,4
10:24:37,7
10:24:39,5
10:24:39,10
10:24:41,7
10:24:41,7
10:24:43,10
10:24:43,5
10:24:45,7
10:24:45,5
10:24:47,5
10:24:47,6
10:24:49,5
10:24:49,5
10:24:51,6
10:24:51,8
10:24:53,5
10:24:53,5
10:24:55,8
10:24:55,8
10:24:57,5
10:24:57,8
10:24:59,8
10:24:59,8
10:25:01,8
10:25:01,14
10:25:03,8
10:25:03,9
10:25:05,14
